"","bin","meanr2"
"1",1,0.157794883808148
"2",2,0.134000524714072
"3",3,0.148195024861007
"4",4,0.140521912532896
"5",5,0.138330691312956
"6",6,0.143702648850715
"7",7,0.139368564177827
"8",8,0.139243173665536
"9",9,0.139902903562856
"10",10,0.133122613015621
"11",11,0.13488030248006
"12",12,0.137905535523924
"13",13,0.133439533999069
"14",14,0.129910926180444
"15",15,0.133716775483497
"16",16,0.129554268995458
"17",17,0.125705405577948
"18",18,0.128333325597871
"19",19,0.125251538210901
"20",20,0.128182745563509
"21",21,0.128897454234249
"22",22,0.124889537947821
"23",23,0.12550850569624
"24",24,0.128560169662222
"25",25,0.119618930690132
"26",26,0.12343171405685
"27",27,0.125451976714753
"28",28,0.121251068938961
"29",29,0.120872532577191
"30",30,0.121169895546406
"31",31,0.118757450555721
"32",32,0.117153485883495
"33",33,0.121063365535085
"34",34,0.115760309273967
"35",35,0.11723477585224
"36",36,0.117767962227349
"37",37,0.115627160448022
"38",38,0.117141233449836
"39",39,0.116641486170047
"40",40,0.111364008078483
"41",41,0.114264147767598
"42",42,0.11786597587615
"43",43,0.110445570480364
"44",44,0.111552120930036
"45",45,0.114482167412127
"46",46,0.111124570372554
"47",47,0.110015738641241
"48",48,0.1112581744299
"49",49,0.109254027784362
"50",50,0.109439941942362
"51",51,0.10963291618265
"52",52,0.107617858106738
"53",53,0.105340344985262
"54",54,0.108095868047949
"55",55,0.106692626325895
"56",56,0.105175839037728
"57",57,0.104820385681992
"58",58,0.103420181844106
"59",59,0.102754329537749
"60",60,0.104833259869909
"61",61,0.10379738009174
"62",62,0.103399291358552
"63",63,0.102465363673357
"64",64,0.099902933237748
"65",65,0.0996370680088218
"66",66,0.0994320028890972
"67",67,0.0994468661530909
"68",68,0.0990409075327838
"69",69,0.0996134135526138
"70",70,0.097013323000314
"71",71,0.0988938383387557
"72",72,0.0985133637910401
"73",73,0.0966478381646584
"74",74,0.0990828451385404
"75",75,0.0966644685341266
"76",76,0.0949497832498703
"77",77,0.0966552049467746
"78",78,0.0960158498858253
"79",79,0.0945703550830568
"80",80,0.0946212285661434
"81",81,0.0938765296682788
"82",82,0.0936183604645345
"83",83,0.0937539810780182
"84",84,0.0932531985444039
"85",85,0.0924370364769198
"86",86,0.090049624974981
"87",87,0.0916408273668613
"88",88,0.0915950652349048
"89",89,0.0926036383662942
"90",90,0.0918407146190814
"91",91,0.0920374848214871
"92",92,0.0878803391020944
"93",93,0.0896865938004341
"94",94,0.0914166215829741
"95",95,0.0888192415678651
"96",96,0.089650064662171
"97",97,0.0900250332579783
"98",98,0.0862267290352406
"99",99,0.0879781789476223
"100",100,0.0887438198256272
"101",101,0.0888371734318344
"102",102,0.0863958006582887
"103",103,0.0861972158931756
"104",104,0.0832466050766186
"105",105,0.0877488221894059
"106",106,0.0854443893854569
"107",107,0.0863462278218307
"108",108,0.0842657922392117
"109",109,0.0855099722757024
"110",110,0.0857494827326114
"111",111,0.0848725751159787
"112",112,0.0829838322982054
"113",113,0.0848831459566491
"114",114,0.0833966593338861
"115",115,0.0851156502492448
"116",116,0.0832410136423685
"117",117,0.0842798950340371
"118",118,0.0807106009765886
"119",119,0.0819203195574522
"120",120,0.0832322170722331
"121",121,0.08107221682993
"122",122,0.0824809450817899
"123",123,0.0792050609337199
"124",124,0.0835978412753116
"125",125,0.0772991920362902
"126",126,0.0794404630720875
"127",127,0.0832157956747955
"128",128,0.080531443980731
"129",129,0.0798397640872427
"130",130,0.0816844774231254
"131",131,0.0802725168200914
"132",132,0.0780435237152325
"133",133,0.0788889735174247
"134",134,0.07744013192064
"135",135,0.0783100155746228
"136",136,0.0778620288921561
"137",137,0.0798620561427625
"138",138,0.0786573976189844
"139",139,0.0776917239046695
"140",140,0.0780270585184256
"141",141,0.077661495848674
"142",142,0.0802870578499782
"143",143,0.0754087345020236
"144",144,0.0783376558850427
"145",145,0.0784351593227189
"146",146,0.077054863226699
"147",147,0.0765485746505571
"148",148,0.0761794372636839
"149",149,0.075886507223802
"150",150,0.0746844212799211
"151",151,0.0746449875513644
"152",152,0.0749261409131162
"153",153,0.0783002257303355
"154",154,0.0738472313645342
"155",155,0.0763787067211903
"156",156,0.0740215808490318
"157",157,0.0765430772303877
"158",158,0.0756413387845795
"159",159,0.0751447368589144
"160",160,0.0773447960519813
"161",161,0.0755209895604408
"162",162,0.0765565805339202
"163",163,0.0750421340352749
"164",164,0.074421029720594
"165",165,0.0748600531968916
"166",166,0.0761219643457492
"167",167,0.0749535447033934
"168",168,0.0740681052631536
"169",169,0.0748342942568876
"170",170,0.074133080958011
"171",171,0.072905321140917
"172",172,0.0737791020252613
"173",173,0.0735153920115349
"174",174,0.0728876919527204
"175",175,0.0722496232490938
"176",176,0.0740956172656192
"177",177,0.0743626586084041
"178",178,0.0720207974483555
"179",179,0.0733272707409091
"180",180,0.0726048079618281
"181",181,0.074606745775414
"182",182,0.0733374662414082
"183",183,0.0728522470548506
"184",184,0.0719391148030428
"185",185,0.0726687655605952
"186",186,0.0729651495588599
"187",187,0.0742987784078388
"188",188,0.0711330110259856
"189",189,0.0731507193904022
"190",190,0.0743810760189395
"191",191,0.074549576176546
"192",192,0.0731335653717654
"193",193,0.0720798112435444
"194",194,0.0734036846388074
"195",195,0.0738171599910753
"196",196,0.0714883507024641
"197",197,0.0730830192836697
"198",198,0.0741317351396835
"199",199,0.0712766191643031
"200",200,0.0707438755929324
"201",201,0.0741117848421351
"202",202,0.0717187111936295
"203",203,0.0714064963310256
"204",204,0.0714060275710991
