"","X","B11","Na23","Mg25","Al27","P31","S34","K39","Ca43","Mn55","Fe57","Co59","Ni60","Cu65","Zn66","As75","Se82","Rb85","Sr88","Mo98","Cd111"
"1","33-16",4.26089660912496,2.80657267950004,1261.97231687498,0.824159556250014,3349.00396399994,1136.07741737483,4562.9192836249,94.2920280850005,5.238511448625,21.4319090600004,0.00203229875000008,0.61642612725,3.24709269375013,22.1215220049903,0.014247995375,1.294820389,2.08129418125,0.23336593475,0.251911050249885,0.02544625725
"2","4226",4.51594433499996,3.21607911625004,1494.49791999998,0.873801962625014,3983.57802699993,1523.70452549983,4764.7260899999,80.4479686450005,9.24737474574999,20.7037279375004,0.00216729500000008,0.314897438375,4.39178900600013,29.5978743337403,0.0219410835,2.211847187875,1.469682584125,0.193323503875,0.342390260874885,0.028664329
"3","4722",3.91476647987128,3.11910506717545,1432.12945935775,1.45146869151114,3988.61461898374,1369.61054363609,4183.6846082126,98.3557229345056,11.464649799,21.3183866945698,0.0017713123641856,0.31430991075,1.4719544692405,29.0928989229979,0.0179747834973369,1.50539695925,2.22779793614499,0.201374127736154,0.301269552538958,0.0614598654129882
"4","A188",4.45401414587496,2.01191219537504,1477.81384862498,0.728069503125014,3854.25318549994,1223.71930796233,5354.3881821249,56.2019346700005,9.21118930887499,19.8897177337504,0.00190779337500008,0.23484735125,4.71519374875013,30.3841180349903,0.014188342875,1.604618868625,0.806271247999998,0.136467791625,0.334253172249886,0.015958768625
"5","A214N",5.03501602437128,2.58467433417545,1344.03215910775,0.618862750761139,3603.43477873374,1263.67984563609,4815.7587667126,44.2620544945056,6.14215654199999,17.1566790920698,0.0011488493641856,0.1184346395,2.3251716699905,21.9148648554979,0.0148766909973369,1.09759671675,2.55022903614499,0.0944667752361544,0.181877920288958,0.0189262514129882
"6","A239",3.97493098687863,3.19497788182462,1305.1083573922,0.712738348238888,3377.24815026613,1035.52166336357,3481.2806647872,53.9731775504955,6.91860612575001,21.900453275431,0.00206274188581456,0.124510677,1.99010723825977,25.9355463519828,0.0132283040026632,3.25284879425,1.588488800855,0.111813582763845,0.416830870210812,0.0269306563370117
"7","A554",4.97357184174995,4.09055485637504,1446.75588962498,0.797753574500014,3938.90022974994,1297.22452237483,4330.6971158749,55.5713719600005,5.86905241687501,32.4723788937504,0.00222606287500008,0.213944913,2.71492194437514,30.5769828587403,0.018807051375,2.061419775,0.904559863874999,0.128488736875,0.465742179499885,0.042921126
"8","A556",4.43741635962496,1.63665761862504,1225.04110099998,0.629788022125014,3086.01857687494,1040.76050099983,3923.3074172499,32.8596318600004,6.72596550175001,21.1389399550004,0.00116274162500008,0.128772615125,2.32461071037513,21.1598543999903,0.0116078725,0.968288869875,1.67236397025,0.0812169541249998,0.343593814749886,0.0541203238750001
"9","A619",4.45051477512496,2.79576332537504,1375.00710137498,0.590455094000014,2824.97880487494,1096.41048564983,3767.7661496249,57.3002204337505,6.570415541,26.0096233062504,0.00192358525000008,0.243010766375,2.11652382650014,27.9756876449903,0.0141621685,1.17304976925,1.32017779825,0.1333181695,0.267258343499885,0.028452528875
"10","A632",4.38039246112496,3.44898011587504,1449.21411037498,0.802872043375014,3672.69015512493,1263.77064174983,3837.7479343749,48.8799208337505,6.20669013199999,15.3775733225004,0.000922359750000079,0.164795415875,1.03230139600014,18.4279097412403,0.01474996125,1.827228107,1.16615434325,0.191042436125,0.208033248374885,0.015874346625
"11","A634",4.60110499724996,2.11842474725004,1529.92163199998,0.493850649625014,3693.86719824993,1272.77950662483,3860.1374882499,54.8473061950005,6.982587891125,20.2370322162504,0.000726720250000079,0.259021327625,1.90420377100013,22.2942044274903,0.01098681075,1.66880176325,1.58640661325,0.110914270875,0.283992725124886,0.02006516825
"12","A635",4.35068645187496,2.33374356062504,1485.10359987498,0.803290668625014,3562.05919562494,1256.13427224983,4308.5970294999,42.7341398125005,7.989795641,13.9755614975004,0.00150823500000008,0.2923533645,1.67198729837513,19.8387426974903,0.0130638985,1.23999832,1.177903019875,0.0939056778749997,0.194640528124885,0.0150380755
"13","A641",4.15842808762496,2.34573736537504,1461.19132712498,0.871150925375014,3658.90810962493,1082.52785587483,3957.37480924991,41.7643904300005,6.04882791987501,21.0534785687504,0.00149349875000008,0.191848067875,1.94039572275013,20.8045229674903,0.0166464365,1.787441490375,1.603914071,0.0866891739999997,0.262548281999886,0.01975056325
"14","A654",4.38713839962496,3.33185519725004,1251.79242562498,0.850788133250013,3710.44832887494,1212.67081474983,4322.1928799999,65.0386833212505,6.73221399574999,18.2971081212504,0.00336444987500008,0.244113046375,2.83775214512514,32.7728091324903,0.014494636125,1.481123922375,1.44241393175,0.14173678875,0.161324599249885,0.018687376875
"15","A659",3.87354411712128,2.45987544617545,1300.63073060775,0.93931832001114,3090.51583898374,1158.09731063609,4639.01523921261,77.2261032445056,9.17196161049998,18.8475989495698,0.0017904001141856,0.26666775475,1.3316067037405,20.4954911179978,0.0158139934973369,1.093865466,1.22742352364499,0.110083340986154,0.294929139038958,0.0176906989129883
"16","A661",3.71422978437496,2.68571365000004,1423.89100924998,0.830003228750013,3063.89125374994,1153.82993237483,3695.52829837491,51.6545302687505,4.456386516125,18.4337730925004,0.00145212075000008,0.489855828,2.68975546775014,20.5197242674903,0.0179356565,1.338471282375,1.754259878,0.109785555375,0.374684561624886,0.06746124825
"17","A679",4.83447216387128,2.60571446967545,1108.18237435775,0.71205561801114,3310.19443723374,1169.35847363609,4521.9200609626,71.7518806345056,4.63404633,17.7773324320698,0.00158442236418559,0.18004133375,1.6926564317405,19.5206290379978,0.0116775194973369,1.27135763975,0.875597540894995,0.146660551736154,0.447409588788958,0.0177000949129883
"18","A680",4.52304164412496,3.94712865450004,1135.66501739998,0.855728035250014,2891.32936024993,1072.58584231233,3605.7833714999,43.2900565025005,3.84924993149999,16.7238187025004,0.00104006862500008,0.234690210125,1.43427435037514,17.4969785562403,0.01497905225,1.250132370625,1.842854141875,0.134421001875,0.243378726874886,0.015719690375
"19","A682",4.71457835074995,1.84434351150004,1222.06249899998,0.532798870875014,3194.24023537493,927.477776049831,3608.2092678749,52.2528879700006,4.60289913712499,20.9824149262504,0.0108987318750001,0.2133924985,2.87439518337514,21.5812846412403,0.017255658625,1.431936401,1.162167517375,0.0988833053749997,0.297616838374885,0.06230436875
"20","B10",3.54324337187863,2.05502864482462,1415.5512378922,0.611747679738887,3465.13543776613,1353.82028286357,4557.8292627872,69.8632231029954,6.7684419785,15.422903602931,0.000714919385814563,0.41511379275,3.05869112825977,20.5699828869828,0.0144361510026632,1.81436584425,1.941584807105,0.153918044513845,0.0770724117108128,0.0220934553370117
"21","B103",4.91896735537128,3.48849090817545,1171.50133985775,0.80668504826114,3261.33508998374,1060.96096313609,4296.97767821261,41.1510649270055,4.376066329,20.7040545420698,0.0011870388641856,0.24735223525,1.5971386312405,24.5036257129978,0.0127881997473369,1.718962619,1.19767883789499,0.121592352236154,0.240148326788959,0.0117164486629882
