bin,meanr2
0,0.108187472264624
1,0.0608049467529086
2,0.0414857715466042
3,0.0371452944231564
4,0.0351724992007958
5,0.0341198593465632
6,0.032892754028733
7,0.0321477491214534
8,0.0323381044940923
9,0.0321189316277443
10,0.0309846957317129
11,0.0307739573147614
12,0.0309183558314794
13,0.031386096139986
14,0.0327912474706851
15,0.0339459139701372
16,0.0333662805736684
17,0.0305377148797284
18,0.0297185958151804
19,0.0306462383893749
20,0.0273837592844235
21,0.0282423531453538
22,0.0278092439788758
23,0.0282872692936644
24,0.0273289429955517
25,0.0290327330253986
26,0.0295108617634671
27,0.0291635468030878
28,0.028194155475138
29,0.0281429645191459
30,0.0280599097669773
31,0.0280040083988765
32,0.0278990122949071
33,0.0270700407167074
34,0.0280168270634296
35,0.0295147750241211
36,0.0331579080274135
37,0.0324343323495857
38,0.0311872600133953
39,0.0319455764348543
40,0.0277550012062223
41,0.0276131549766368
42,0.027374154197397
43,0.0265789454126876
44,0.0265086574936454
45,0.0248577785223798
46,0.0250149237070365
47,0.0261910042182452
48,0.021809104282691
49,0.0229322911662904
50,0.0201522540824297
51,0.0224257353992553
52,0.0218655686971015
53,0.0254206382906781
54,0.0264701387902931
55,0.0273154083421974
56,0.0309499011161128
57,0.0272201496365964
58,0.0256944408547667
59,0.0269271271676112
60,0.0226813786592454
61,0.0234836647734029
62,0.0219586365482361
63,0.0218395334675363
64,0.0254193589789905
65,0.0265521588659532
66,0.0263553564118545
67,0.0251264142870649
68,0.020131497074703
69,0.0206031646495132
70,0.0244809817025003
71,0.0269985054707096
72,0.0305677838565976
73,0.0298174940753863
74,0.0281154404107447
75,0.0280763283157673
76,0.0287039690728326
77,0.0356579484383956
78,0.031406364607451
79,0.0269053195839866
80,0.0297380076911118
81,0.0268455439519776
82,0.0237463097042219
83,0.0274951753463465
84,0.0221246145244929
85,0.0219203893697645
86,0.0239886423247988
87,0.0221889597349613
88,0.0228119283983868
89,0.0223381985692068
90,0.0226507827788845
91,0.0246933419577401
92,0.0240884954396316
93,0.0212735409380998
94,0.0249472797745519
95,0.0233338319882539
96,0.0270035871321211
97,0.0259801227564868
98,0.0294321187917108
99,0.0292359444540961
100,0.0265549878436662
101,0.0281154168865428
102,0.0271658595508031
103,0.0279562540083697
104,0.028340056220811
105,0.0227470208842186
106,0.0263039444034333
107,0.0281925456681352
108,0.02467244993715
109,0.0270219149665506
110,0.0266354276136478
111,0.0314824934169764
112,0.0258489538054269
113,0.0251283294405298
114,0.0224810663301501
115,0.0220515121336704
116,0.0220378252092666
117,0.020573989074116
118,0.0215903094625453
119,0.0228201891303173
120,0.0191805796209621
121,0.0171568031408475
122,0.0181094912600706
123,0.0239779777877768
124,0.0265453482540081
125,0.0241320943435315
126,0.0269154784707574
127,0.0269668537976248
128,0.0236293931760055
129,0.0245690797624719
130,0.0283049727509853
131,0.030373795007102
132,0.0290507298868289
133,0.0302768461523374
134,0.0280432622606928
135,0.0256756405677214
136,0.0273617638822903
137,0.0236025260810207
138,0.0286078419451093
139,0.0230073700692422
140,0.0220563662866692
141,0.0217347953462942
142,0.0228923790627164
143,0.0221886509858796
144,0.0249705324173619
145,0.0273424319352527
146,0.0199487481012752
147,0.0210211021709509
148,0.0241649774861134
149,0.021732170253461
150,0.0244726156378979
151,0.0300743799686086
152,0.0257322535236929
153,0.0351962048760369
154,0.027572234036906
155,0.0263932001164303
156,0.026410491495034
157,0.0294445785091382
158,0.0253827951644065
159,0.023880569948091
160,0.0206768151003902
161,0.0185888086861474
162,0.0183368156681818
163,0.0197677860998062
164,0.0193272432329548
165,0.0181095356467997
166,0.0174857184506843
167,0.0179236091953278
168,0.0177180303358246
169,0.019256351622586
170,0.0177825565499936
171,0.0207054261100833
172,0.0189937299893786
173,0.0172429049749023
174,0.0219785444206924
175,0.0158873937170584
176,0.019650112377037
177,0.0179787042327933
178,0.0165534364227478
179,0.0177963765704457
180,0.0247724403006006
181,0.0231390278261115
182,0.0212665766794127
183,0.0238349790703467
184,0.0244001752981839
185,0.0302142209292487
186,0.0293261083620627
187,0.027035719971772
188,0.0214774468272377
189,0.0227362733642225
190,0.0196536564717345
191,0.0215942277385733
192,0.0260904919337368
193,0.0237985541635146
194,0.0199912973712456
195,0.0187858146548998
196,0.0218298792632572
197,0.0269370945523679
198,0.0284890264791279
199,0.0267070062243956
